Order,Column Name,Description,Values,Use
42,SciWindow,"This is an indicator to denote if a student was enrolled at the associated school during the Science testing window for the indicated ""AssessmentFamily"".

For More Information on The Assessment window dates: please reference the State Business rules.","Binary Values:
0 = Not Enrolled During SciWindow
1 = Enrolled During SciWindow","Determines which students to include in the Percent Tested calculation for the Science Proficiency Bonus Points eligibility in State Accountability.

**For more information on the Percent Tested calculations: Please Reference the State Business Rules."
43,AOIFTE,"The full-time equivalent ratio for the student’s assignment to a school for services or instruction. For example, a full-time student would have an FTE value of 1 while a half-time student would have an FTE value of 0.5. ",Numeric Value between 0 - 1 ,
44,RAEL,An indicator to identify Recently Arrived Limited English Proficient students.,"Discrete Numerical Values:
0 = Not RAEL                                                              
1 = RAEL and 1st year 
2 = RAEL and 2nd year 
3 = RAEL and 3rd year 
","The values in this column are used to identify 1st and 2nd year Recently arrived english Learners to be excluded from State and Federal Accountability Indicators of ELA Proficiency as defined by the State and Federal Business Rules.

**For more Information on how RAEL is used in Accountability: Please Reference the State and Federal Business Rules."
45,ELFAY,"An indicator to identify Full Academic Year students (FAY) for the AZELLA assessment.

For More Information on how ELFAY is Calculated: please reference the State Business rules.","Binary Values:
0 = Not ELFAY                                                                
1 = ELFAY
","The values in this column are used to identify Students considered to be Full Academic Year enrolled with regards to the English learner criteria defined in the State and Federal Business Rules.

**For more information on how ELFAY is calculated: Please Reference the State and Federal Business Rules."
46,Subject,Subject of assessment taken by student.,"ELA = English Language Arts
Math = Math
Sci = Science

N.B Students in non-testing Grades will have a missing Value here.",The values in this column are used to distinguish the Academic Subject tested on Arizona StateWide Assessments; for all Accountability components that incorporate Academic outcomes.
47,ScaleScore,Scale score on assessment taken.,"A Numerical Value

N.B Non-tested students will have a missing value here.","The values in this column are used in conjunction with the values in ""PYSS"" to calculate the ""SGP_CCR"" column."
48,G8Math,An indicator to denote Grade 8 Math records with a Highly proficient or a Minimally proficient score.,"Binary Values:
0 =Not a Grade 8 Math Record
1= A Grade 8 Math Record","Used in the Grade 8 Math Performance Indicator in the Acceleration / Readiness component of State Accountability.

**For more information on the Acceleration Readiness component: Please reference the State Business Rules."
49,Performance,"Current Year Performance Level          
","Discrete Numerical Values:
1 = Minimally Proficient
2 = Partially Proficient            
3 = Proficient                                       
4 = Highly Proficient","The values in this column are used to calculate the Proficiency component in State and Federal Accountability.

**For More information on the proficiency component calculations: Please Reference the State and Federal Business Rules."
50,Accommodation,An indicator to identify Students that recieved accommodations on the associated assessment.,"Binary Values:
0 = No Accomodations
1 = Accomodations reported","The Accommodation column is used in creating the public file, but is not considered for A-F Accountability. Note: Currently (June 2023), ACT-approved accommodations data is still pending, and will show as '0'."
51,AssessmentGrade,The grade level of the associated assessment type. This column will match Student Grade for all records except records associated with K2 schools in the staticfile for federal accountability.,"Discrete numeric values:
3 = 3rd grade
4 = 4th grade
5 = 5th grade
6 = 6th grade
7 = 7th grade
8 = 8th grade
9 = 9th grade
11 =11th grade","The values in this column indicate the grade level associated with the assessment type listed in the ""AssessmentFamily"" column. These values are used to identify the enrollment record grade upon which the student was assessed."
52,G3ELA,An indicator to denote Grade 3 ELA records with a Minimally proficient score.,"Binary Values:
0 = Not a Grade 3 ELA Minimally Proficient Record
1 = A Grade 3 ELA Minimally Proficient Record","The values in this column are used in the Grade 3 Minimally Proficient Improvement Indicator in the Acceleration / Readiness component of State Accountability.

**For more information on the Acceleration Readiness component: Please reference the State Business Rules."
53,TestType,An indicator to denote Alternative vs regular assessments.,"Discrete Numerical Values:
680 = Regular Assessments
685 = Alternative Assessments",
54,AssessmentTestStatus,The status of the Assessment test results reported to ADE if applicable.,"Discrete Values:
DNR = Do Not Report
ESM = Early Stopping Rule Misadministration
ESR = Early Stopping Rule
Incomplete = Incomplete 
Not Provided = Not Provided
TES = Tested",
55,AssessmentFamily,A column describing the name of the assessment taken by the associated student.,"Discrete values:
AASA = Arizona's Academic Standards Assessment
ACTASPIRE = ACT Aspire
AZACT = Arizona ACT
AZSCI = Arizona Science
MSAA =  Multi-State Alternate Assessment
NotEligible = Students in NON-testing grades
NotTested = Students in Testing grades BUT Not-tested",
56,StateWideTested,An indicator to denote whether the student enrollment record was matched to an assessment record of the associated subject.,"Binary Values:
0 = Not Tested
1 = Tested",
57,Passing,An Indicator to denote whether the associated student assessment record shows a Proficient or higher performance level.,"Binary Values:
0 = Didn't receive a Passing Score
1 = Passing Score",
58,SGP_CCR,A numerical value denoting the Student Growth Percentile for the associated student assessment.,Numerical Value between 1-99 ,"The values in this column are used to produce the ""SGP_CCR_Category"" column."
59,SGP_CCR_Category,Student Growth Percentile – Current Cohort Referenced – Category,"Discrete Numerical Values:
0 = Low Growth (SGP-CCR 1-33)                      
1 = Average Growth (SGP-CCR 34-66)            
2 = High Growth (SGP-CCR 67-99) 
","The values in this column are used along with ""PYPerformance""  in the Growth indicator of State Accountability to assign weights for growth points.

**For more information on how growth points are calculated for state accountability: please reference the State Business Rules."
60,PYSS,Scale score on the prior year assessment taken in the same subject.,"A Numerical Value

N.B students with no prior year record will have a missing value here.","The values in this column are used to calculate SGP and SGT.

**For more information on SGP: please reference the State Business Rules."
61,PYPerformance,"Prior Year Performance Level  	
","Discrete Numerical Values:
1 = Minimally Proficient
2 = Partially Proficient            
3 = Proficient                                       
4 = Highly Proficient","The values in this column are used along with ""SGP_CCR_Category""  in the Growth indicator of State Accountability to assign weights for growth points.

**For more information on how growth points are calculated for state accountability: please reference the State Business Rules."
62,ELTested,"If the student was assessed on AZELLA 	
","Binary Values:
0 = Not ELTested                                                                 
1 = ELTested",
63,PYELProf,"Prior Year Proficiency level on AZELLA. If the student does not have an AZELLA Score from the Prior school year, then PYELProf refers to their Current year Placement test If Applicable.

For Azella Placement test cutoff dates please refer to the State Business Rules. ","Discrete numeric values:                                                    
1 = Pre-Emergent/Emergent                         
2 = Basic                                                             
3 = Intermediate                                              
4 = Proficient 
",The values in this column are used to calculate the EL Growth Column in the Static-File.
64,ELProf,Proficiency level on AZELLA,"Discrete numeric values:     
 1 = Pre-Emergent/Emergent 
 2 = Basic 
 3 = Intermediate 
 4 = Proficient",The values in this column are used to calculate the EL Proficiency Percentage for each school as part of the EL Indicator is State and Federal Accountability.
65,ELGrowth,Growth on AZELLA,"Discrete Numerical Values:
0 = No growth 
 1 = 1 level change 
 2 = 2 level changes 
 3 = 3 level changes",The values in this column are used to calculate the EL Growth average for each school as part of the EL Indicator is State and Federal Accountability.
66,SPEDInclusion,"An indicator to denote students that are receiving SPED services as of October 1st of the current fiscal year and are spending 80% or more of their time in a regular classroom.
This is indicated in SPED07 AzEDS report as having a need/service code of ""A""","Binary Values:
0 = Not SPEDInclusion
1 = SPEDInclusion",The values in this column are used in the SPED Inclusion component of the Acceleration/Readiness Indicator.
67,ChronicAbsent,"An Indicator to denote students that have absences greater than 10%.

For More Information on how ChronicAbsenteeisim is calculated: please reference the State Business rules.","0 = Not Chronically Absent 
 1 = Chronically Absent",The values in this column are used in State and Federal accountability Chronic absenteeism related measures.
68,TestingWindow,"This is an indicator to denote if a student was enrolled at the associated school during the ELA and Math OR Science testing window for the associated ""AssessmentFamily"" .

For More Information on The Assessment window dates: please reference the State Business rules.","Binary Values:
0 = Not Enrolled During TestingWidnow
1 = Enrolled During TestingWidnow","Determines which students to include in the Percent Tested indicator under the Proficiency Component in State and Federal Accountability.

**For more information on the Percent Tested calculations: Please Reference the State and Federal Business Rules."
69,SnapShotDate,The date the data in the staticfile was last updated.,mm/dd/yyyy,Used to reference the different versions of the static file.
